t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
993.2,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.21,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.22,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.23,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.24,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.25,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.26,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.27,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.28,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.29,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.3,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.31,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.32,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.33,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.34,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.35,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.36,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.37,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.38,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.39,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.4,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.41,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.42,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.43,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.44,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.45,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.46,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.47,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.48,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.49,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.5,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.51,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.52,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.53,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.54,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.55,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.56,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.57,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.58,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.59,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.6,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.61,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.62,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.63,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.64,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.65,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.66,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.67,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.68,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.69,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.7,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.71,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.72,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.73,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.74,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.75,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.76,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.77,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.78,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.79,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.8,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
